Device, URL, RAM, CPU, Display Resolution, Instruction Set, OpenGL ES 2.0, Vector Floating Point
Panasonic ELUGA Live P-08D, http://pdadb.net/index.php?m=specs&id=3563&view=1, 1024, 1200, 1280x800, ARMv7,,
Huawei Ascend P1 TD (Huawei T9200), http://pdadb.net/index.php?m=specs&id=3627&view=1, 1024, 1536, 540x960, ARMv7,,
Lenovo LePhone S899t, http://pdadb.net/index.php?m=specs&id=3675&view=1, 1024, 1000, 540x960, ARMv7, Yes,
Huawei Ascend Y200T (Huawei T8620), http://pdadb.net/index.php?m=specs&id=3683&view=1, 512, 1000, 320x480, ARMv7,,
LG VS930 Spectrum 2 / Optimus LTE 2, http://pdadb.net/index.php?m=specs&id=3472&view=1, 1024, 1512, 720x1280, ARMv7,,
HTC One S NA (HTC Ville), http://pdadb.net/index.php?m=specs&id=3591&view=1, 1024, 1500, 540x960, ARMv7,,
NTT DoCoMo Sharp Aquos Phone sv SH-10D, http://pdadb.net/index.php?m=specs&id=3606&view=1, 1024, 1512, 720x1280, ARMv7,,
Sony Xperia GX SO-04D (Sony Hayabusa), http://pdadb.net/index.php?m=specs&id=3583&view=1, 1024, 1512, 720x1280, ARMv7,,
Acer Liquid Glow E330, http://pdadb.net/index.php?m=specs&id=3413&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
T-Mobile myTouch Q U8730 (Huawei Buddy), http://pdadb.net/index.php?m=specs&id=3678&view=1, 1024, 1400, 480x800, ARMv7, Yes,
T-Mobile myTouch U8680 (Huawei Phoenix), http://pdadb.net/index.php?m=specs&id=3679&view=1, 1024, 1400, 480x800, ARMv7, Yes,
T-Mobile Samsung SGH-T879 Galaxy Note, http://pdadb.net/index.php?m=specs&id=3522&view=1, 1024, 1500, 800x1280, ARMv7,,
Acer Iconia Tab A110 8GB, http://pdadb.net/index.php?m=specs&id=3616&view=1, 1024, 1200, 1024x600, ARMv7-A,,
ViewSonic ViewPhone 4s, http://pdadb.net/index.php?m=specs&id=3434&view=1, 512, 1000, 540x960, ARMv7-A,,
Huawei Ascend Q M660, http://pdadb.net/index.php?m=specs&id=3481&view=1,, 800, 320x480, , ,
Motorola RAZR V XT885 (Motorola Yangtze), http://pdadb.net/index.php?m=specs&id=3682&view=1, 1024, 1200, 540x960, ARMv7,,
Samsung SCH-R940 Galaxy S Lightray 4G (Samsung Stealth), http://pdadb.net/index.php?m=specs&id=3441&view=1, 512, 1000, 480x800, ARMv7,, Yes
Motorola ELECTRIFY 2 XT881 (Motorola Yangtze), http://pdadb.net/index.php?m=specs&id=3751&view=1, 1024, 1200, 540x960, ARMv7,,
Motorola Defy XT XT556 / XT557, http://pdadb.net/index.php?m=specs&id=3753&view=1, 512, 1000, 480x854, ARMv7-A, Yes,
Pantech Marauder ADR910L (Pantech Star Q), http://pdadb.net/index.php?m=specs&id=3723&view=1, 1024, 1200, 480x800, ARMv7,,
ZTE Light Tab V9S, http://pdadb.net/index.php?m=specs&id=3417&view=1, 1024, 1200, 1280x800, ARMv7,,
Huawei Ascend G312 QWERTY U8730 (Huawei Buddy), http://pdadb.net/index.php?m=specs&id=3558&view=1, 1024, 1400, 480x800, ARMv7, Yes,
T-Mobile Ascend G312 U8680 (Huawei Phoenix), http://pdadb.net/index.php?m=specs&id=3461&view=1, 1024, 1400, 480x800, ARMv7, Yes,
NTT DoCoMo Arrows Me F-11D (Quanta Swordfish), http://pdadb.net/index.php?m=specs&id=3559&view=1,, 1000, 480x800, ARMv7, Yes,
NTT DoCoMo Fujitsu F-09D Anteprima, http://pdadb.net/index.php?m=specs&id=3585&view=1, 1024, 1400, 480x800, ARMv7, Yes,
Sony Xperia go ST27 / ST27i (Sony Lotus), http://pdadb.net/index.php?m=specs&id=3556&view=1, 512, 1000, 320x480, ARMv7, Yes,
Samsung SHW-M480K Galaxy Note 10.1, http://pdadb.net/index.php?m=specs&id=3763&view=1, 2048, 1400, 1280x800, ARMv7,,
Samsung SHW-M480S Galaxy Note 10.1, http://pdadb.net/index.php?m=specs&id=3764&view=1, 2048, 1400, 1280x800, ARMv7,,
Panasonic ELUGA Power, http://pdadb.net/index.php?m=specs&id=3386&view=1, 1024, 1500, 720x1280, ARMv7,,
Acer Iconia Tab A211 3G 8GB, http://pdadb.net/index.php?m=specs&id=3643&view=1, 1024, 1200, 1280x800, ARMv7-A,,
Sony Xperia Tipo ST21 / ST21i (Sony Tapioca SS), http://pdadb.net/index.php?m=specs&id=3528&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Sony Xperia Miro ST23 / ST23i (Sony Mesona), http://pdadb.net/index.php?m=specs&id=3621&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Samsung SHW-M480W Galaxy Note 10.1 WiFi 32GB, http://pdadb.net/index.php?m=specs&id=3644&view=1, 2048, 1400, 1280x800, ARMv7,,
Lenovo IdeaTab S2110A / S2-10 16GB, http://pdadb.net/index.php?m=specs&id=3304&view=1, 1024, 1500, 1280x800, ARMv7,,
Lenovo IdeaTab S2110A 32GB, http://pdadb.net/index.php?m=specs&id=3703&view=1, 1024, 1500, 1280x800, ARMv7,,
Motorola MOTOLUXE XT685, http://pdadb.net/index.php?m=specs&id=3752&view=1, 512, 800, 480x854, ARMv7-A, Yes,
Panasonic Eluga V P-06D, http://pdadb.net/index.php?m=specs&id=3610&view=1, 1024, 1500, 720x1280, ARMv7,,
Google Nexus 7 16GB (Asus Nakasi), http://pdadb.net/index.php?m=specs&id=3641&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Google Nexus 7 8GB (Asus Nakasi), http://pdadb.net/index.php?m=specs&id=3645&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Huawei Ascend D1 XL (Huawei U9500E), http://pdadb.net/index.php?m=specs&id=3667&view=1, 1024, 1500, 720x1280, ARMv7,,
NEC Medias X N-07D, http://pdadb.net/index.php?m=specs&id=3562&view=1, 1024, 1512, 720x1280, ARMv7,,
Samsung Galaxy S III London Olympic Games Premium Edition, http://pdadb.net/index.php?m=specs&id=3698&view=1, 1024, 1400, 720x1280, ARMv7,,
ZTE N880E, http://pdadb.net/index.php?m=specs&id=3699&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
NTT DoCoMo Regza T-02D, http://pdadb.net/index.php?m=specs&id=3573&view=1, 1024, 1500, 540x960, ARMv7,,
ZTE Grand X U970, http://pdadb.net/index.php?m=specs&id=3634&view=1, 512, 1000, 540x960, ARMv7-A, Yes,
Asus Transformer Pad 300 4G LTE TF300TL, http://pdadb.net/index.php?m=specs&id=3576&view=1, 1024,, 1280x800, , ,
Acer Iconia Tab A210 WiFi 16GB, http://pdadb.net/index.php?m=specs&id=3642&view=1, 1024, 1200, 1280x800, ARMv7-A,,
Huawei Ascend G500D U8832D (Huawei Panama), http://pdadb.net/index.php?m=specs&id=3745&view=1, 512, 1000, 540x960, ARMv7,,
NTT DoCoMo LG Optimus it L-05D, http://pdadb.net/index.php?m=specs&id=3560&view=1, 1024, 1512, 480x800, ARMv7,,
Samsung GT-B5330 Galaxy Chat, http://pdadb.net/index.php?m=specs&id=3664&view=1,, 850, 240x320, , ,
HTC One XC X720d (HTC Jel), http://pdadb.net/index.php?m=specs&id=3848&view=1, 1024, 1500, 720x1280, ARMv7,,
Samsung SCH-R530 Galaxy S III LTE, http://pdadb.net/index.php?m=specs&id=3625&view=1, 2048, 1512, 720x1280, ARMv7,,
Samsung GT-B9120, http://pdadb.net/index.php?m=specs&id=3638&view=1, 1024, 1200, 480x800 480x800, ARMv7,,
ZTE Grand X 3G (ZTE Mimosa X), http://pdadb.net/index.php?m=specs&id=3635&view=1, 512, 1200, 540x960, ARMv7-A, Yes,
Motorola Atrix HD MB886 / Atrix 3 (Motorola Dinara), http://pdadb.net/index.php?m=specs&id=3379&view=1, 1024, 1512, 720x1280, ARMv7,,
Asus Transformer Pad Infinity 3G TF700TG 64GB, http://pdadb.net/index.php?m=specs&id=3640&view=1, 1024, 1512, 1920x1200, ARMv7,,
Motorola Defy Pro XT560, http://pdadb.net/index.php?m=specs&id=3666&view=1, 512, 1000, 480x320, ARMv7-A, Yes,
Huawei Ascend P1 XL (Huawei U9200E), http://pdadb.net/index.php?m=specs&id=3631&view=1, 1024, 1500, 540x960, ARMv7,,
KDDI Sharp Aquos Phone CL IS17SH, http://pdadb.net/index.php?m=specs&id=3575&view=1, 1024, 1400, 540x960, ARMv7, Yes,
NTT DoCoMo Raku-Raku F-12D, http://pdadb.net/index.php?m=specs&id=3612&view=1, 1024, 1400, 480x800, ARMv7, Yes,
Sony Xperia Neo L MT25 / MT25i, http://pdadb.net/index.php?m=specs&id=3604&view=1, 512, 1000, 480x854, ARMv7, Yes,
Samsung SHV-E210L Galaxy S III LTE, http://pdadb.net/index.php?m=specs&id=3705&view=1, 2048, 1400, 720x1280, ARMv7,,
Samsung SHV-E170L Galaxy R Style (Samsung Jaguar), http://pdadb.net/index.php?m=specs&id=3710&view=1, 1024, 1512, 540x960, ARMv7,,
Samsung SHW-M340S Galaxy M Style, http://pdadb.net/index.php?m=specs&id=3866&view=1, 512, 1000, 480x800, ARMv7,, Yes
Asus Transformer Pad Infinity / Eee Pad Transformer Prime TF700T, http://pdadb.net/index.php?m=specs&id=3299&view=1, 1024, 1600, 1920x1200, ARMv7-A,,
Verizon Samsung SCH-i535 Galaxy S3, http://pdadb.net/index.php?m=specs&id=3533&view=1, 2048, 1512, 720x1280, ARMv7,,
Acer Iconia Tab A701 64GB, http://pdadb.net/index.php?m=specs&id=3284&view=1, 1024, 1300, 1920x1200, ARMv7-A,,
Motorola XT626 DOUBLE V, http://pdadb.net/index.php?m=specs&id=3760&view=1, 1024, 1200, 540x960, ARMv7, Yes,
NTT DoCoMo Sharp Aquos Phone Zeta SH-09D, http://pdadb.net/index.php?m=specs&id=3609&view=1, 1024, 1512, 720x1280, ARMv7,,
Samsung SHV-E170K Galaxy R Style (Samsung Jaguar), http://pdadb.net/index.php?m=specs&id=3553&view=1, 1024, 1512, 540x960, ARMv7,,
Samsung SHV-E210K Galaxy S III LTE, http://pdadb.net/index.php?m=specs&id=3706&view=1, 2048, 1400, 720x1280, ARMv7,,
Samsung SHV-E170S Galaxy R Style (Samsung Jaguar), http://pdadb.net/index.php?m=specs&id=3709&view=1, 1024, 1512, 540x960, ARMv7,,
Samsung SHV-E210S Galaxy S III LTE, http://pdadb.net/index.php?m=specs&id=3544&view=1, 2048, 1400, 720x1280, ARMv7,,
Verizon HTC Droid Incredible 4G LTE ADR6410 (HTC Fireball), http://pdadb.net/index.php?m=specs&id=3419&view=1, 1024, 1200, 540x960, ARMv7,,
KDDI Sharp Aquos Phone SL IS15SH, http://pdadb.net/index.php?m=specs&id=3663&view=1,, 1400, 540x960, ARMv7, Yes,
Samsung GT-i8530 Galaxy Beam, http://pdadb.net/index.php?m=specs&id=3410&view=1, 768, 1000, 480x800, ARMv7, Yes,
Samsung SGH-i747 Galaxy S III LTE, http://pdadb.net/index.php?m=specs&id=3602&view=1, 2048, 1512, 720x1280, ARMv7,,
Meizu MX 2-core 16 GB, http://pdadb.net/index.php?m=specs&id=3687&view=1, 1024, 1500, 640x960, ARMv7,,
Toshiba Excite 13 T AT330 / Excite 13.3 AT335 64GB, http://pdadb.net/index.php?m=specs&id=3449&view=1, 1024, 1500, 1600x900, ARMv7-A,,
Sprint Samsung SPH-L710 Galaxy S III LTE 32GB, http://pdadb.net/index.php?m=specs&id=3648&view=1, 2048, 1512, 720x1280, ARMv7,,
Samsung GT-i9308 Galaxy S3, http://pdadb.net/index.php?m=specs&id=3538&view=1, 1024, 1400, 720x1280, ARMv7,,
Kyocera Hydro C5170, http://pdadb.net/index.php?m=specs&id=3542&view=1, 512, 1000, 320x480, ARMv7, Yes,
Samsung GT-i8250 Galaxy, http://pdadb.net/index.php?m=specs&id=3624&view=1, 512, 1000, 480x800, ARMv5,,
Samsung SGH-i827D Galaxy Ace Q, http://pdadb.net/index.php?m=specs&id=3717&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Samsung SGH-T989 Galaxy SII Plus (Samsung Hercules), http://pdadb.net/index.php?m=specs&id=3767&view=1, 1024, 1500, 480x800, ARMv7,,
ZTE PF200, http://pdadb.net/index.php?m=specs&id=3416&view=1, 1024, 1500, 540x960, ARMv7,,
Alcatel One Touch OT-991, http://pdadb.net/index.php?m=specs&id=3632&view=1, 256, 800, 320x480, ARMv6,,
Huawei Ascend Y201 (Huawei U8666), http://pdadb.net/index.php?m=specs&id=3629&view=1, 256, 800, 320x480, ARMv7-A, Yes,
NTT DoCoMo Sharp Aquos Phone st SH-07D, http://pdadb.net/index.php?m=specs&id=3611&view=1, 1024, 1000, 854x480, ARMv7, Yes,
Sony Xperia SX SO-05D, http://pdadb.net/index.php?m=specs&id=3540&view=1, 1024, 1512, 540x960, ARMv7,,
Samsung SCH-i939 Galaxy S III (Samsung Midas), http://pdadb.net/index.php?m=specs&id=3605&view=1, 1024, 1400, 720x1280, ARMv7,,
Samsung SHW-M440S Galaxy S 3, http://pdadb.net/index.php?m=specs&id=3617&view=1, 1024, 1400, 720x1280, ARMv7,,
Samsung GT-B9062 Galaxy, http://pdadb.net/index.php?m=specs&id=3657&view=1, 512, 1400, 480x800, ARMv7, Yes,
Meizu MX Quad-Core 64GB, http://pdadb.net/index.php?m=specs&id=3496&view=1, 1024, 1400, 640x960, ARMv7,,
Meizu MX Quad-Core / MX 4-core 32GB, http://pdadb.net/index.php?m=specs&id=3686&view=1, 1024, 1400, 640x960, ARMv7,,
HTC One V CDMA, http://pdadb.net/index.php?m=specs&id=3565&view=1, 512, 1000, 480x800, ARMv7, Yes,
KDDI Sharp Aquos Phone Serie ISW16SH, http://pdadb.net/index.php?m=specs&id=3662&view=1, 1024, 1500, 720x1280, ARMv7,,
Samsung SGH-iT999 Galaxy S III, http://pdadb.net/index.php?m=specs&id=3603&view=1, 2048, 1400, 720x1280, ARMv7,,
Hannspree HANNS pad SN-70T3, http://pdadb.net/index.php?m=specs&id=3636&view=1, 512, 1000, 800x480, ARMv7-A,,
Sony Xperia Ion LT28at (Sony Aoba), http://pdadb.net/index.php?m=specs&id=3298&view=1, 1024, 1512, 720x1280, ARMv7,,
T-Mobile Samsung SGH-T999V Galaxy S III, http://pdadb.net/index.php?m=specs&id=3557&view=1, 2048, 1512, 720x1280, ARMv7,,
Toshiba Regza Tablet AT830 T6F, http://pdadb.net/index.php?m=specs&id=3652&view=1, 1024, 1400, 1600x900, ARMv7-A,,
Acer Iconia Tab A510 Olympic Edition, http://pdadb.net/index.php?m=specs&id=3637&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Acer Iconia Tab A700 32GB, http://pdadb.net/index.php?m=specs&id=3615&view=1, 1024, 1300, 1920x1200, ARMv7-A,,
HTC One S Z560E (HTC Ville C), http://pdadb.net/index.php?m=specs&id=3623&view=1, 1024, 1700, 540x960, ARMv7,,
Motorola RAZR V XT889 (Motorola Yangtze), http://pdadb.net/index.php?m=specs&id=3660&view=1, 1024, 1200, 540x960, ARMv7,,
Motorola Motosmart Mix XT553, http://pdadb.net/index.php?m=specs&id=3665&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Alcatel One Touch OT-986, http://pdadb.net/index.php?m=specs&id=3589&view=1, 1024, 1500, 720x1280, ARMv7,,
Orange Dublin P752V (ZTE Kis), http://pdadb.net/index.php?m=specs&id=3708&view=1, 512, 800, 320x480, ARMv7-A, Yes,
ZTE Atlas W, http://pdadb.net/index.php?m=specs&id=3728&view=1, 512, 800, 480x800, ARMv6, Yes,
Motorola MOTOSMART XT390, http://pdadb.net/index.php?m=specs&id=3608&view=1, 512, 800, 320x480, ARMv6,,
HTC One XT S720t (HTC Supreme), http://pdadb.net/index.php?m=specs&id=3490&view=1, 1024, 1500, 720x1280, ARMv7-A,,
Toshiba Regza Tablet AT570 46F, http://pdadb.net/index.php?m=specs&id=3653&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Toshiba Regza Tablet AT570 36F, http://pdadb.net/index.php?m=specs&id=3654&view=1, 1024, 1300, 1280x800, ARMv7-A,,
LG P880 Optimus 4X HD (LG X3), http://pdadb.net/index.php?m=specs&id=3314&view=1, 1024, 1500, 720x1280, ARMv7-A,,
Toshiba Excite 7 T AT270 / Excite 7.7 AT275 32GB, http://pdadb.net/index.php?m=specs&id=3388&view=1, 1024, 1500, 1280x800, ARMv7-A,,
Motorola Defy Mini XT321, http://pdadb.net/index.php?m=specs&id=3578&view=1, 512, 600, 320x480, ARMv7-A, Yes,
LG F-160K Optimus LTE2, http://pdadb.net/index.php?m=specs&id=3537&view=1, 2048, 1512, 720x1280, ARMv7,,
ViewSonic ViewPhone 4e, http://pdadb.net/index.php?m=specs&id=3433&view=1, 512, 650, 320x480, , ,
Samsung GT-i9050, http://pdadb.net/index.php?m=specs&id=3529&view=1, 1024, 1000, 480x800, ARMv7,,
Asus Padfone, http://pdadb.net/index.php?m=specs&id=3247&view=1, 1024, 1512, 540x960, ARMv7,,
Samsung SGH-i577 Galaxy Exhilarate, http://pdadb.net/index.php?m=specs&id=3465&view=1, 1024, 1200, 480x800, ARMv7,,
Huawei Activa 4G (Huawei M920), http://pdadb.net/index.php?m=specs&id=3613&view=1, 512, 800, 320x480, ARMv6, Yes,
Sony Xperia Ion LT28 / LT28i (Sony Aoba), http://pdadb.net/index.php?m=specs&id=3259&view=1, 1024, 1512, 720x1280, ARMv7,,
Motorola MOTOSMART XT389, http://pdadb.net/index.php?m=specs&id=3607&view=1, 512, 800, 320x480, ARMv6,,
Motorola MOTO XT760, http://pdadb.net/index.php?m=specs&id=3466&view=1, 768, 1000, 540x960, ARMv7, Yes,
Samsung SGH-i827 Galaxy Appeal, http://pdadb.net/index.php?m=specs&id=3572&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Toshiba Regza Tablet AT500 36F, http://pdadb.net/index.php?m=specs&id=3649&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Toshiba Regza Tablet AT700 46F, http://pdadb.net/index.php?m=specs&id=3650&view=1, 1024, 1200, 1280x800, ARMv7,,
Toshiba Regza Tablet AT500 46F, http://pdadb.net/index.php?m=specs&id=3651&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Orange Santa Diego / Santa Clara (Intel Black Ray), http://pdadb.net/index.php?m=specs&id=3397&view=1, 1024, 1600, 600x1024, IA-32, Yes,
Motorola MOTOLUXE MT680, http://pdadb.net/index.php?m=specs&id=3462&view=1, 512, 1000, 480x800, , ,
Motorola MOTO RAZR V MT887 (Motorola Yangtze), http://pdadb.net/index.php?m=specs&id=3580&view=1, 1024, 1200, 540x960, ARMv7,,
Vodafone Smart II (TCL V860), http://pdadb.net/index.php?m=specs&id=3600&view=1, 512, 832, 320x480, ARMv6, Yes,
Huawei Ascend D1 (Huawei U9500), http://pdadb.net/index.php?m=specs&id=3394&view=1, 1024, 1500, 720x1280, ARMv7,,
HTC One XL EU / Edge (HTC Evita), http://pdadb.net/index.php?m=specs&id=3561&view=1, 1024, 1500, 720x1280, ARMv7,,
Spice Mi-425 Stellar, http://pdadb.net/index.php?m=specs&id=3684&view=1, 512, 1008, 480x800, ARMv7-A, Yes,
Samsung GT-S5690L Galaxy Xcover Extreme, http://pdadb.net/index.php?m=specs&id=3734&view=1, 512, 800, 320x480, ARMv5TE,,,
Samsung GT-S6358 Galaxy Ace, http://pdadb.net/index.php?m=specs&id=3756&view=1, 512, 800, 320x480, ARMv5,,
Alcatel One Touch OT-916, http://pdadb.net/index.php?m=specs&id=3597&view=1, 256, 650, 320x240, ARMv6,,
Alcatel One Touch OT-916D, http://pdadb.net/index.php?m=specs&id=3598&view=1, 256, 650, 320x240, ARMv6,,
Sprint HTC EVO 4G LTE / EVO One (HTC Jet), http://pdadb.net/index.php?m=specs&id=3444&view=1, 1024, 1500, 720x1280, ARMv7,,
Pantech Vega Racer 2 LTE IM-A830K, http://pdadb.net/index.php?m=specs&id=3548&view=1, 1024, 1512, 720x1280, ARMv7,,
Alcatel One Touch OT-985D, http://pdadb.net/index.php?m=specs&id=3453&view=1, 256, 650, 320x480, ARMv6,,
Huawei Ascend G305T (Huawei T8828), http://pdadb.net/index.php?m=specs&id=3531&view=1, 512, 1000, 480x800, ARMv5,,
Huawei Ascend C8812, http://pdadb.net/index.php?m=specs&id=3532&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Motorola Motosmart Mix XT550, http://pdadb.net/index.php?m=specs&id=3555&view=1, 512, 800, 320x480, ARMv7-A, Yes,
LG F-160S Optimus LTE2, http://pdadb.net/index.php?m=specs&id=3536&view=1, 2048, 1512, 720x1280, ARMv7,,
Lenovo K800, http://pdadb.net/index.php?m=specs&id=3309&view=1,, 1600, 720x1280, IA-32, Yes,
Samsung GT-i9300 Galaxy S III 32GB, http://pdadb.net/index.php?m=specs&id=3495&view=1, 1024, 1400, 720x1280, ARMv7,,
Samsung GT-i9300 Galaxy S III 16GB / Galaxy S3, http://pdadb.net/index.php?m=specs&id=3534&view=1, 1024, 1400, 720x1280, ARMv7,,
KDDI Urbano Progresso au KYY04, http://pdadb.net/index.php?m=specs&id=3639&view=1, 1024, 1400, 480x800, ARMv7, Yes,
Sony Xperia U ST25a (Sony Kumquat), http://pdadb.net/index.php?m=specs&id=3384&view=1, 512, 1000, 480x854, ARMv7, Yes,
TCL S900, http://pdadb.net/index.php?m=specs&id=3590&view=1, 1024, 1500, 720x1280, ARMv7,,
KDDI HTC J ISW13HT (HTC Nippon), http://pdadb.net/index.php?m=specs&id=3493&view=1, 1024, 1512, 540x960, ARMv7,,
LG F-160L Optimus LTE 2 / LTE2, http://pdadb.net/index.php?m=specs&id=3494&view=1, 2048, 1512, 720x1280, ARMv7,,
LG P940H Prada 3.0 (LG K2), http://pdadb.net/index.php?m=specs&id=3552&view=1, 1024, 1008, 480x800, ARMv7,,
Samsung GT-S6352 Galaxy Ace Duos, http://pdadb.net/index.php?m=specs&id=3691&view=1, 512, 832, 320x480, ARMv6, Yes,
HTC Desire C NFC A320e (HTC Golf), http://pdadb.net/index.php?m=specs&id=3320&view=1, 512, 600, 320x480, ARMv7-A, Yes,
Sony Xperia P LT22 / LT22i (Sony Nyphon), http://pdadb.net/index.php?m=specs&id=3256&view=1, 1024, 1000, 540x960, ARMv7, Yes,
Sony Xperia Sola MT27 / MT27i (Sony Pepper), http://pdadb.net/index.php?m=specs&id=3291&view=1, 512, 1000, 480x854, ARMv7, Yes,
Sony Xperia U ST25 / ST25i (Sony Kumquat), http://pdadb.net/index.php?m=specs&id=3310&view=1, 512, 1000, 480x854, ARMv7, Yes,
Sharp SH330U, http://pdadb.net/index.php?m=specs&id=3539&view=1, 256, 600, 320x480, ARMv7-A, Yes,
Alcatel One Touch OT-995 Ultra, http://pdadb.net/index.php?m=specs&id=3599&view=1, 512, 1400, 480x800, ARMv7, Yes,
HTC One XL AU X325E / X325S / Edge (HTC Evita), http://pdadb.net/index.php?m=specs&id=3485&view=1, 1024, 1500, 720x1280, ARMv7,,
LG P936 Optimus True HD LTE, http://pdadb.net/index.php?m=specs&id=3451&view=1, 1024, 1500, 720x1280, ARMv7,,
LG SU870 Optimus 3D Cube / Optimus 3D 2 (LG CX2), http://pdadb.net/index.php?m=specs&id=3656&view=1, 1024, 1200, 480x800, ARMv7,,
Samsung GT-i8160 Galaxy Ace 2, http://pdadb.net/index.php?m=specs&id=3377&view=1, 768, 800, 480x800, , ,
Samsung YP-GI1CW / YP-GI1CB / Galaxy Player 4.2 / Galaxy S WiFi 4.2 8GB, http://pdadb.net/index.php?m=specs&id=3746&view=1, 512, 1000, 480x800, ARMv7,, Yes
Samsung SCH-S720C Galaxy Proclaim, http://pdadb.net/index.php?m=specs&id=3774&view=1, 512, 1000, 320x480, ARMv7,, Yes
Samsung YP-GI1EW / YP-GI1EB Galaxy Player 4.2 16GB, http://pdadb.net/index.php?m=specs&id=3395&view=1, 512, 1000, 480x800, ARMv7,, Yes
Samsung GT-P5110 Galaxy Tab 2 10.1 WiFi 16GB, http://pdadb.net/index.php?m=specs&id=3448&view=1, 1024, 1000, 1280x800, ARMv7,,
ViewSonic ViewPad E100, http://pdadb.net/index.php?m=specs&id=3440&view=1, 1024, 1200, 1024x768, ARMv7-A,,
Pantech Vega Racer 2 LTE IM-A830L, http://pdadb.net/index.php?m=specs&id=3547&view=1, 1024, 1512, 720x1280, ARMv7,,
Toshiba Excite 10 T AT300 / Excite 10.1 AT305 32GB, http://pdadb.net/index.php?m=specs&id=3482&view=1, 1024, 1300, 1280x800, ARMv7-A,,
T-Mobile Prism U8651 (Huawei Astro), http://pdadb.net/index.php?m=specs&id=3427&view=1, 512, 600, 320x480, ARMv6, Yes,
Pantech Vega Racer 2 LTE IM-A830S SKY, http://pdadb.net/index.php?m=specs&id=3439&view=1, 1024, 1512, 720x1280, ARMv7,,
Samsung SGH-i757M Galaxy SII HD LTE (Samsung Dali), http://pdadb.net/index.php?m=specs&id=3714&view=1, 1024, 1500, 720x1280, ARMv7,,
LG P700 Optimus L7 / P705, http://pdadb.net/index.php?m=specs&id=3409&view=1, 1024, 1000, 480x800, ARMv7-A, Yes,
ZTE Skate Kis, http://pdadb.net/index.php?m=specs&id=3404&view=1, 512, 800, 320x480, ARMv7-A, Yes,
Panasonic Toughpad FZ-A1, http://pdadb.net/index.php?m=specs&id=3226&view=1, 1024, 1200, 1024x768, , ,
Samsung GT-i9070P Galaxy S Advance NFC, http://pdadb.net/index.php?m=specs&id=3412&view=1, 768, 1000, 480x800, ARMv7-A,,
Samsung SPH-L700 Galaxy Nexus 4G LTE (Samsung Prime), http://pdadb.net/index.php?m=specs&id=3488&view=1, 1024, 1200, 720x1280, ARMv7,,
Samsung GT-i9210T Galaxy S II 4G AU (Samsung Celox), http://pdadb.net/index.php?m=specs&id=3771&view=1, 1024, 1500, 480x800, ARMv7,,
Acer Iconia Tab A510, http://pdadb.net/index.php?m=specs&id=3302&view=1, 1024, 1300, 1280x800, ARMv7-A,,
Lenovo IdeaTab S2109 32GB, http://pdadb.net/index.php?m=specs&id=3486&view=1, 1024, 1000, 1024x768, ARMv7,,
Lenovo IdeaTab S2109 8GB, http://pdadb.net/index.php?m=specs&id=3669&view=1, 1024, 1000, 1024x768, ARMv7,,
Lenovo IdeaTab S2109 16GB, http://pdadb.net/index.php?m=specs&id=3670&view=1, 1024, 1000, 1024x768, ARMv7,,
LG P720H Optimus 3D Max (LG CX2), http://pdadb.net/index.php?m=specs&id=3467&view=1, 1024, 1200, 480x800, ARMv7,,
HTC Desire VC T328d, http://pdadb.net/index.php?m=specs&id=3473&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Motorola MOTOLUXE XT390, http://pdadb.net/index.php?m=specs&id=3480&view=1, 512, 800, 320x480, ARMv6,,
Samsung GT-P3100 Galaxy Tab 2 7.0 32GB, http://pdadb.net/index.php?m=specs&id=3350&view=1, 1024, 1000, 1024x600, ARMv7,,
ViewSonic ViewPad e70, http://pdadb.net/index.php?m=specs&id=3307&view=1, 512, 1000, 800x480, ARMv7-A,,
Sony Xperia acro HD IS12S (Sony Hayate), http://pdadb.net/index.php?m=specs&id=3362&view=1, 1024, 1512, 720x1280, ARMv7,,
T-Mobile HTC One S (HTC Ville), http://pdadb.net/index.php?m=specs&id=3383&view=1, 1024, 1500, 540x960, ARMv7,,
Alcatel One Touch OT-985, http://pdadb.net/index.php?m=specs&id=3452&view=1, 256, 650, 320x480, ARMv6,,
HTC Desire V T328w (HTC Wind), http://pdadb.net/index.php?m=specs&id=3459&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
HTC Desire VT T328t, http://pdadb.net/index.php?m=specs&id=3489&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
