Device, URL, RAM, CPU, Display Resolution, Instruction Set, OpenGL ES 2.0, Vector Floating Point
HTC One X+ S728e (HTC Endeavor C2), http://pdadb.net/index.php?m=specs&id=3755&view=1, 1024, 1700, 720x1280, ARMv7-A,,
Samsung GT-i9300 Galaxy S III 64GB, http://pdadb.net/index.php?m=specs&id=3535&view=1, 1024, 1400, 720x1280, ARMv7,,
Sony Xperia T LT30at (Sony Mint Amy), http://pdadb.net/index.php?m=specs&id=3739&view=1, 1024, 1512, 720x1280, ARMv7,,
T-Mobile Samsung SGH-T889 Galaxy Note 2, http://pdadb.net/index.php?m=specs&id=3853&view=1, 2048, 1600, 720x1280, ARMv7,,
Samsung SGH-i317 Galaxy Note II LTE, http://pdadb.net/index.php?m=specs&id=3826&view=1, 2048, 1600, 720x1280, ARMv7,,
ZTE V882 (ZTE Lord), http://pdadb.net/index.php?m=specs&id=3762&view=1, 512, 1400, 480x800, ARMv7, Yes,
Alcatel One Touch T10, http://pdadb.net/index.php?m=specs&id=3924&view=1, 1024, 1000, 800x480, ARMv7-A,,
Huawei Ascend HW-01E (Huawei U9501L), http://pdadb.net/index.php?m=specs&id=3793&view=1, 1024, 1500, 720x1280, ARMv7,,
Huawei Ascend G306T (Huawei T8808D), http://pdadb.net/index.php?m=specs&id=3845&view=1, 512, 1000, 480x800, ARMv7-A,,
Vodafone SmartTab II A2107 4GB, http://pdadb.net/index.php?m=specs&id=3850&view=1, 1024, 1000, 1024x600, ARMv7,,
LG LS970 Eclipse 4G LTE, http://pdadb.net/index.php?m=specs&id=3550&view=1, 2048, 1512, 768x1280, ARMv7,,
Samsung GT-i9305 Galaxy S III LTE EU, http://pdadb.net/index.php?m=specs&id=3789&view=1, 2048, 1400, 720x1280, ARMv7,,
Samsung Galaxy Tab 7.7 Plus SC-01E, http://pdadb.net/index.php?m=specs&id=3799&view=1, 1024, 1500, 1280x800, ARMv7,,
LG Optimus G L-01E, http://pdadb.net/index.php?m=specs&id=3790&view=1, 2048, 1512, 720x1280, ARMv7,,
Samsung GT-i8190 Galaxy S III Mini NFC 16GB, http://pdadb.net/index.php?m=specs&id=3925&view=1, 1024, 1000, 480x800, ARMv7-A,,
Samsung GT-i8190 Galaxy S III Mini 8GB, http://pdadb.net/index.php?m=specs&id=3933&view=1, 1024, 1000, 480x800, ARMv7-A,,
Motorola DROID RAZR HD XT926 (Motorola Vanquish), http://pdadb.net/index.php?m=specs&id=3446&view=1, 1024, 1512, 720x1280, ARMv7,,
Motorola DROID RAZR MAXX HD, http://pdadb.net/index.php?m=specs&id=3827&view=1, 1024, 1512, 720x1280, ARMv7,,
ZTE Grand Era V985, http://pdadb.net/index.php?m=specs&id=3883&view=1, 1024, 1500, 720x1280, ARMv7-A,,
Huawei Ascend D1 Quad XL / Ascend D quad XL (Huawei U9510E), http://pdadb.net/index.php?m=specs&id=3393&view=1, 1024, 1500, 720x1280, ARMv7,,
Huawei Ascend G600 (Huawei U8950D), http://pdadb.net/index.php?m=specs&id=3824&view=1, 768, 1200, 540x960, ARMv7,,
Motorola RAZR M XT905 (Motorola Scorpion Mini), http://pdadb.net/index.php?m=specs&id=3828&view=1, 1024, 1512, 540x960, ARMv7,,
Huawei Honor+ (Huawei T8950), http://pdadb.net/index.php?m=specs&id=3886&view=1, 768, 1000, 540x960, ARMv7,,
HTC One SC, http://pdadb.net/index.php?m=specs&id=3834&view=1, 1024, 1000, 480x800, ARMv7-A, Yes,
HTC One ST, http://pdadb.net/index.php?m=specs&id=3835&view=1, 1024, 1000, 480x800, , ,
Sony Xperia J ST26a (Sony JLo), http://pdadb.net/index.php?m=specs&id=3805&view=1, 512, 1000, 480x854, ARMv7-A, Yes,
Sony Xperia V LT25 / LT25i (Sony Tsubasa), http://pdadb.net/index.php?m=specs&id=3806&view=1, 1024, 1512, 720x1280, ARMv7,,
Samsung GT-i9100 Galaxy S2 Crystal Edition, http://pdadb.net/index.php?m=specs&id=3819&view=1, 1024, 1200, 480x800, ARMv7,,
Samsung EK-KC100S Galaxy Camera, http://pdadb.net/index.php?m=specs&id=3887&view=1, 1024, 1400, 1280x720, ARMv7,,
Samsung SGH-i497 Galaxy Tab 2 10.1, http://pdadb.net/index.php?m=specs&id=3901&view=1, 1024, 1000, 1280x800, ARMv7,,
LG LG730 Venice, http://pdadb.net/index.php?m=specs&id=3874&view=1, 768, 1000, 480x800, ARMv7, Yes,
Huawei Ascend D LTE (Huawei U9501L), http://pdadb.net/index.php?m=specs&id=3398&view=1, 1024, 1500, 720x1280, ARMv7,,
Motorola RAZR HD XT925 (Motorola Vanquish), http://pdadb.net/index.php?m=specs&id=3811&view=1, 1024, 1512, 720x1280, ARMv7,,
HTC One SU, http://pdadb.net/index.php?m=specs&id=3836&view=1, 1024, 1000, 480x800, , ,
Sharp SH631W, http://pdadb.net/index.php?m=specs&id=3882&view=1, 512, 1000, 540x960, ARMv7,,
Motorola MOTOLUXE XT XT788, http://pdadb.net/index.php?m=specs&id=3880&view=1, 512, 1000, 540x960, ARMv7-A, Yes,
ZTE Engage / Nova 4.0 V8000, http://pdadb.net/index.php?m=specs&id=3852&view=1, 1024, 1400, 480x800, ARMv7, Yes,
Motorola RAZR i XT890, http://pdadb.net/index.php?m=specs&id=3868&view=1, 1024, 2000, 540x960, IA-32, Yes,
ZTE Grand Era U985, http://pdadb.net/index.php?m=specs&id=3399&view=1, 1024, 1500, 720x1280, ARMv7-A,,
ZTE PF100, http://pdadb.net/index.php?m=specs&id=3401&view=1, 1024, 1500, 1280x800, ARMv7-A,,
LG P760 Optimus L9, http://pdadb.net/index.php?m=specs&id=3800&view=1, 1024, 1000, 480x854, ARMv7,,
Alcatel One Touch OT-997D, http://pdadb.net/index.php?m=specs&id=3896&view=1, 1024, 1000, 480x800, ARMv7,,
Huawei Ascend G309T Pro (Huawei T8830), http://pdadb.net/index.php?m=specs&id=3846&view=1, 512, 1000, 480x800, ARMv7,,
Samsung SCH-R530M Galaxy S III LTE, http://pdadb.net/index.php?m=specs&id=3878&view=1, 2048, 1512, 720x1280, ARMv7,,
Samsung SGH-T779 Galaxy Tab 2 10.1 4G, http://pdadb.net/index.php?m=specs&id=3893&view=1, 1024, 1000, 1280x800, ARMv7,,
ZTE PF200 EU, http://pdadb.net/index.php?m=specs&id=3369&view=1, 1024, 1200, 540x960, ARMv7,,
ZTE Blade III, http://pdadb.net/index.php?m=specs&id=3769&view=1, 512, 1000, 480x800, ARMv7-A, Yes,
Coolpad 8950 MagView II, http://pdadb.net/index.php?m=specs&id=3782&view=1, 1024, 1500, 480x960, ARMv7,,
